target	resolution_status	coverage_status	context_total_models	context_measured_gene_effect_models	context_median_gene_effect	non_context_median_gene_effect	gene_effect_median_difference	context_measured_probability_models	context_median_dependency_probability	context_fraction_above_first_threshold	non_context_fraction_above_first_threshold	empirical_context_lineage_position	common_essential_reference_status	pan_dependency_reference_status	contradiction_count	limitation_count	profile_status
ABL1	resolved_exact_symbol	sufficient_complete_coverage	56	56	0.016656009569385857	-0.01439645323359159	0.031052462802977448	56	0.018554196815730083	0.0	0.012152777777777778	29.62962962962963	explicitly_absent	reference_unavailable	0	5	valid
ACKR3	resolved_exact_symbol	sufficient_complete_coverage	56	56	0.051971504824438984	0.05145549169103937	0.0005160131333996135	56	0.012531187649904931	0.0	0.0	44.44444444444444	explicitly_absent	reference_unavailable	0	5	valid
ACVR1B	resolved_exact_symbol	sufficient_complete_coverage	56	56	-0.08515877044475642	-0.09349962650204376	0.008340856057287335	56	0.04447697969775254	0.0	0.019097222222222224	44.44444444444444	explicitly_absent	reference_unavailable	0	5	valid
AFDN	resolved_exact_symbol	sufficient_complete_coverage	56	56	-0.09824333463123369	-0.05034653465070568	-0.04789679998052801	56	0.04490595607597833	0.0	0.033854166666666664	66.66666666666667	explicitly_absent	reference_unavailable	0	5	valid
AFF4	resolved_exact_symbol	sufficient_complete_coverage	56	56	-0.05939864471942567	-0.04846659657785693	-0.010932048141568743	56	0.03392475612734393	0.0	0.006076388888888889	44.44444444444444	explicitly_absent	reference_unavailable	0	5	valid
AKT1	resolved_exact_symbol	sufficient_complete_coverage	56	56	0.0046377124629188235	-0.06178562151511162	0.06642333397803044	56	0.020344346257189568	0.0	0.04513888888888889	3.7037037037037037	explicitly_absent	reference_unavailable	0	5	valid
AKT2	resolved_exact_symbol	sufficient_complete_coverage	56	56	-0.007401318928414405	-0.061827372969298654	0.05442605404088425	56	0.020804451087822785	0.0	0.03298611111111111	14.814814814814815	explicitly_absent	reference_unavailable	0	5	valid
ALK	resolved_exact_symbol	sufficient_complete_coverage	56	56	-0.09243115642296142	-0.08370200343847614	-0.008729152984485275	56	0.0461958733533957	0.0	0.006944444444444444	51.851851851851855	explicitly_absent	reference_unavailable	0	5	valid
AMER1	resolved_exact_symbol	sufficient_complete_coverage	56	56	0.08276667476476582	0.055715421836088755	0.027051252928677064	56	0.009990647380253341	0.0	0.0	14.814814814814815	explicitly_absent	reference_unavailable	0	5	valid
APC	resolved_exact_symbol	sufficient_complete_coverage	56	56	-0.3380178346085523	-0.35856163479934966	0.02054380019079738	56	0.27761769575678924	0.3392857142857143	0.3151041666666667	48.148148148148145	explicitly_absent	reference_unavailable	0	5	valid
APOBEC3B	resolved_exact_symbol	sufficient_complete_coverage	56	56	0.005793906262137797	0.0054438496451189875	0.0003500566170188098	56	0.019179227319746587	0.0	0.005208333333333333	48.148148148148145	explicitly_absent	reference_unavailable	0	5	valid
