canonical_identity	entry_format_version	entry_id	inclusion_source_ids	inclusion_sources	inclusion_status	limitations	original_identifier	rejection_reason	resistance_axes	resolution_status	role_annotation	universe_type
symbol:ABL1|entrez:25	v0.5.0	tue_55f7bae0f091f5135960237d2160c85107a77b0d196f3030c054044ff58a1d7f	"[""tus_b5500e784769b5ffb6e8197d270b0071227922e08a69244294eaea01a3571ab7""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000097007""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ABL1		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ACKR3|entrez:57007	v0.5.0	tue_49f603e31fae705539dfc312ad872571895b89c44053fb2b4ff830c8c2fe233c	"[""tus_bcc79c9d33a994862014e3fc489b20feef032ed0d79ec94fe54c2821b8f9a5ca""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000144476""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ACKR3		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ACVR1B|entrez:91	v0.5.0	tue_483f2222ab485047f6e1ad4f66519726ad109387d8b7936645c9a875aedbdddf	"[""tus_03aefc83b676ce9c5d2f8d8cf52ff5af7b3840d58bcd66c5c9ab581925f11795""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000135503""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ACVR1B		"[""other_unresolved""]"	resolved_exact		discovery
symbol:AFDN|entrez:4301	v0.5.0	tue_1a43fce352ce29bd1a590cf3a7bc2460df84ec0d6d813d0f0922cf415fca9c75	"[""tus_159eef9a44a6baa7d190899e40170ca67ed60c121a4b6d3ef2d51771b1be4497""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000130396""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	AFDN		"[""other_unresolved""]"	resolved_exact		discovery
symbol:AFF4|entrez:27125	v0.5.0	tue_3058368777a5279dea818622bf9a4485c09efb1bdf0aab3c6c5a59c3887bcf77	"[""tus_ec2e77d0ed0f331287dce8500f5617f6d1e5bb6bc88d37c9d900997590cc2d53""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000072364""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	AFF4		"[""other_unresolved""]"	resolved_exact		discovery
symbol:AKT1|entrez:207	v0.5.0	tue_568430c0e5de7694592fe5b1e8645755511fd0879c4b5886a63489c4b15861d0	"[""tus_ca91678234ebb8362db560656962de9370ee636513d32646703cb3bf508b9b06""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000142208""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	AKT1		"[""other_unresolved""]"	resolved_exact		discovery
symbol:AKT2|entrez:208	v0.5.0	tue_2d61f535360383fa87fb5b899c56799edde4d1e9dfe0cb72e49666f60acd8d48	"[""tus_0151dcd3340e4c04631d69da23a34d705d04e83db3d3354e2becc764cbf5944f""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000105221""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	AKT2		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ALK|entrez:238	v0.5.0	tue_b5941cd8192dd7d934f37cc209bfae642968c7c2dace95c07e13525097d61666	"[""tus_cf0c45a9aa1efee978b98e9106b467ea6208a5ae1af4aa5ea2c9a59538a249ed""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000171094""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ALK		"[""other_unresolved""]"	resolved_exact		discovery
symbol:AMER1|entrez:139285	v0.5.0	tue_e260c02cfde1c72af331db30b9240e0f0fbd44de459fec28fe500e11b0abd0f0	"[""tus_121305eca6f38ebf2365fd24f905d990ae6a2f58cc8330862e6a659ee0f1f695""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000184675""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	AMER1		"[""other_unresolved""]"	resolved_exact		discovery
symbol:APC|entrez:324	v0.5.0	tue_9e0d582535d4998c6c5cef5035a28c817938a26f8e2f0eb8b8e9b644e3efc0e1	"[""tus_55fdc775383107d6c81ad363effae86de9ec6494c2adb70b755953ca5e67c2b3""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000134982""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	APC		"[""other_unresolved""]"	resolved_exact		discovery
