"source_artifact_name"	"artifact_category"	"source_size"	"source_checksum"	"publication_action"	"exclusion_reason"	"published_relative_path"	"published_checksum"
"README.md"	"derived_aggregate"	"1419"	"9f62b8dc88775bb4a2b15b3109474e36d815cc51188314104fdaa6098d13c0b2"	"published"	""	"README.md"	"9f62b8dc88775bb4a2b15b3109474e36d815cc51188314104fdaa6098d13c0b2"
"activation_readiness_summary.json"	"derived_aggregate"	"226"	"d6be4d9744f54294ff267b198c12d1d1025e1d6faddffbdea91d8e51c4db4812"	"published"	""	"activation_readiness_summary.json"	"d6be4d9744f54294ff267b198c12d1d1025e1d6faddffbdea91d8e51c4db4812"
"artifact_compatibility.json"	"derived_aggregate"	"655"	"944c804ca623c0a000ea13ea7badc9355a323f2ee41570bc5ad2d8dceb6e6050"	"published"	""	"artifact_compatibility.json"	"944c804ca623c0a000ea13ea7badc9355a323f2ee41570bc5ad2d8dceb6e6050"
"baseline_preservation.json"	"derived_aggregate"	"1159"	"106cfab62d1fce2039dff7a17e1a924a7902a44fc2e46fd9b638a0f3bf3b3950"	"published"	""	"baseline_preservation.json"	"106cfab62d1fce2039dff7a17e1a924a7902a44fc2e46fd9b638a0f3bf3b3950"
"benchmark_coverage.json"	"derived_aggregate"	"159"	"f69f4591f7c466dda5c8017443e81d6d091c521d2fb3406d6ecd563f8c46f221"	"published"	""	"benchmark_coverage.json"	"f69f4591f7c466dda5c8017443e81d6d091c521d2fb3406d6ecd563f8c46f221"
"benchmark_report.md"	"derived_aggregate"	"207"	"ceecc72c69ff8f719d3b52fab3a0c1a2ecac719118d19ead12e21547cafa8307"	"published"	""	"benchmark_report.md"	"ceecc72c69ff8f719d3b52fab3a0c1a2ecac719118d19ead12e21547cafa8307"
"benchmark_universe.tsv"	"derived_aggregate"	"48228"	"4e7ba3da08576e0425a780c34e778cf95a63defebf336402bf87793f36d1c54b"	"published"	""	"benchmark_universe.tsv"	"4e7ba3da08576e0425a780c34e778cf95a63defebf336402bf87793f36d1c54b"
"candidate_overlay.tsv"	"derived_aggregate"	"15871"	"fd4253001338d77d5d7909980c566002ac74fd5020bd968b52351bf1463cab27"	"published"	""	"candidate_overlay.tsv"	"fd4253001338d77d5d7909980c566002ac74fd5020bd968b52351bf1463cab27"
"checksums.json"	"derived_aggregate"	"1008"	"d116865f492f7925cc4f4e0f8978ead232d73ecc986be8e3df09958fd92f3ffc"	"published"	""	"checksums.json"	"d116865f492f7925cc4f4e0f8978ead232d73ecc986be8e3df09958fd92f3ffc"
"dependency_profile_summary.tsv"	"derived_aggregate"	"81025"	"ab70ae55251219113c7cc988e54fded7dc0b289310bcc8f21ce31a65438af983"	"published"	""	"dependency_profile_summary.tsv"	"ab70ae55251219113c7cc988e54fded7dc0b289310bcc8f21ce31a65438af983"
"dependency_report_evidence.jsonl"	"derived_aggregate"	"1520298"	"178ef20f7103a2109ce7cd578633db7a9cbd6e3fa05e0fa3f9fb1841fbb6386e"	"published"	""	"dependency_report_evidence.jsonl"	"178ef20f7103a2109ce7cd578633db7a9cbd6e3fa05e0fa3f9fb1841fbb6386e"
"discovery_universe.tsv"	"derived_aggregate"	"314023"	"03f7a5c679f3692cce6d3d7fddcfcd93785e05509c090d16f144923dfdc6f698"	"published"	""	"discovery_universe.tsv"	"03f7a5c679f3692cce6d3d7fddcfcd93785e05509c090d16f144923dfdc6f698"
"integration_gate_decision.json"	"derived_aggregate"	"5276"	"4d0b3599436dc500fc188329fa0c5c1a86672533aab76a823c73725f0efbb357"	"published"	""	"integration_gate_decision.json"	"4d0b3599436dc500fc188329fa0c5c1a86672533aab76a823c73725f0efbb357"
"integration_report.md"	"derived_aggregate"	"292"	"4bcfbd244336e1c50b8c1df1a2637520e8e74fefbc840f748d2a757e5031bfa7"	"published"	""	"integration_report.md"	"4bcfbd244336e1c50b8c1df1a2637520e8e74fefbc840f748d2a757e5031bfa7"
"publication_manifest.json"	"derived_aggregate"	"583"	"27341a9892790c6e80370d114d962ca69121b7a6ce806cef794beef21d7126ac"	"published"	""	"publication_manifest.json"	"27341a9892790c6e80370d114d962ca69121b7a6ce806cef794beef21d7126ac"
